Row #,Category,Filename,Chart Title,GitHub URL,Timeframe,Status,Track This:,Dashboard Location,Update Frequency
WHEATS,,,,,,,,,
1,WHEATS,WHEAT_SrW_BOR_D.png,Box-o-Rox Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SrW_BOR_D.png,Daily,Published,THE signal. SRW price vs 60MA — drives the sell/suspend decision for every tranche.,Top,Daily
2,WHEATS,WHEAT_SRW_30M.png,Chicago SRW 30-Minute,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SRW_30M.png,30-Min,Published,Short-term price structure. Session momentum and intraday support/resistance.,Top,Live/Daily
3,WHEATS,WHEAT_SrW_D.png,Chicago SRW Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SrW_D.png,Daily,Published,"Primary chart. Trend direction, moving averages, and daily close relative to BoR triggers.",Top,Daily
4,WHEATS,WHEAT_SrW_W.png,Chicago SRW Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SrW_W.png,Weekly,Published,Intermediate trend. Key for timing scale-in sales and identifying seasonal turning points.,Top,Weekly
5,WHEATS,WHEAT_SrW_M.png,Chicago SRW Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SrW_M.png,Monthly,Published,Seasonal patterns and longer-term support/resistance levels. Context for annual marketing plan.,Top,Monthly
6,WHEATS,WHEAT_SrW_Special_M.png,Chicago SRW Monthly (Annotated),https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SrW_Special_M.png,Monthly,Published,"Longer-term pattern identification — head-and-shoulders, channels, multi-year formations.",Top,Monthly
7,WHEATS,WHEAT_SrW_A.png,Chicago SRW Annual,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_SrW_A.png,Annual,Published,"The 50+ year view. Inflation-adjusted context, generational price cycles, and macro perspective.",Top,Annually
8,WHEATS,Wheat_hRw_D.png,Kansas City HRW Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/Wheat_hRw_D.png,Daily,In Development,HRW daily trend. Plains wheat quality premiums and basis implications for HRW producers.,Top,Daily
9,WHEATS,WHEAT_hRw_W.png,Kansas City HRW Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_hRw_W.png,Weekly,Published,Intermediate HRW trend. Relative strength vs SRW signals class rotation.,Top,Weekly
10,WHEATS,Wheat_hRw_M.png,Kansas City HRW Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/Wheat_hRw_M.png,Monthly,In Development,HRW seasonal patterns. Winter wheat planting-to-harvest cycle visible here.,Top,Monthly
11,WHEATS,Wheat_HrS_D.png,Minneapolis HRS Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/Wheat_HrS_D.png,Daily,In Development,Spring wheat daily. Protein premium dynamics and northern Plains weather sensitivity.,Top,Daily
12,WHEATS,WHEAT_HrS_W.png,Minneapolis HRS Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_HrS_W.png,Weekly,Published,HRS intermediate trend. Spring planting window creates unique seasonal volatility.,Top,Weekly
13,WHEATS,Wheat_HrS_M.png,Minneapolis HRS Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/Wheat_HrS_M.png,Monthly,In Development,HRS seasonal patterns. Protein premium cycles and milling demand trends.,Top,Monthly
14,WHEATS,WHEAT_FWH_D.png,Paris 11% Milling Wheat Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_FWH_D.png,Daily,Published,European wheat benchmark. Black Sea export competition and EU crop conditions.,Top,Daily
15,WHEATS,WHEAT_FWH_W.png,Paris 11% Milling Wheat Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/WHEAT_FWH_W.png,Weekly,Published,Global price discovery. Correlation to Chicago reveals export competitiveness shifts.,Top,Weekly
16,WHEATS,Wheat_FWH_M.png,Paris 11% Milling Wheat Monthly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/Wheat_FWH_M.png,Monthly,In Development,European wheat seasonal patterns. Northern hemisphere harvest overlap visible.,Top,Monthly
GRAINS,,,,,,,,,
17,GRAINS,GRAIN_C_D.png,CBOT Corn Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_C_D.png,Daily,Published,Corn is wheat's neighbor. Feed substitution economics shift when this ratio moves.,Mid,Daily
18,GRAINS,GRAIN_C_w.png,CBOT Corn Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_C_w.png,Weekly,Published,Corn intermediate trend. Acreage competition with wheat visible in spring rallies.,Mid,Weekly
19,GRAINS,GRAIN_S_D.png,CBOT Soybeans Daily,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_S_D.png,Daily,Published,Row crop bellwether. Beans lead risk-on/risk-off sentiment in the grain complex.,Mid,Daily
20,GRAINS,GRAIN_S_W.png,CBOT Soybeans Weekly,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/GRAIN_S_W.png,Weekly,Published,Soybean intermediate trend. South American crop cycle creates counter-seasonal moves.,Mid,Weekly
INTRA-MARKET SPREADS,,,,,,,,,
21,INTRA-MARKET SPREADS,SPD_SrW_H_K.png,Chicago SRW Spread: Mar/May,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_H_K.png,Weekly,In Development,Near-term carry. Widening = storage pays; narrowing = sell now.,Mid,Daily
22,INTRA-MARKET SPREADS,SPD_SrW_K_N.png,Chicago SRW Spread: May/Jul,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_K_N.png,Weekly,Published,Pre-harvest carry signal. Old crop to new crop transition visible here.,Mid,Daily
23,INTRA-MARKET SPREADS,SPD_SrW_N_U.png,Chicago SRW Spread: Jul/Sep,https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/SPD_SrW_N_U.png,Weekly,Published,Harvest pressure spread. Inverting here signals tight old-crop supply.,Mid,Daily
